State,OverallHomeless2020,ShelteredTotalHomeless2020,UnshelteredHomeless2020,OverallHomeless2019,ShelteredTotalHomeless2019,UnshelteredHomeless2019,OverallHomeless2018,ShelteredTotalHomeless2018,UnshelteredHomeless2018,OverallHomeless2017,ShelteredTotalHomeless2017,UnshelteredHomeless2017,OverallHomeless2016,ShelteredTotalHomeless2016,UnshelteredHomeless2016,OverallHomeless2015,ShelteredTotalHomeless2015,UnshelteredHomeless2015,OverallHomeless2014,ShelteredTotalHomeless2014,UnshelteredHomeless2014,OverallHomeless2013,ShelteredTotalHomeless2013,UnshelteredHomeless2013,OverallHomeless2012,ShelteredTotalHomeless2012,UnshelteredHomeless2012,OverallHomeless2011,ShelteredTotalHomeless2011,UnshelteredHomeless2011,OverallHomeless2010,ShelteredTotalHomeless2010,UnshelteredHomeless2010,OverallHomeless2009,ShelteredTotalHomeless2009,UnshelteredHomeless2009,OverallHomeless2008,ShelteredTotalHomeless2008,UnshelteredHomeless2008,OverallHomeless2007,ShelteredTotalHomeless2007,UnshelteredHomeless2007
OH,10655,8811,1844,10345,8838,1507,10249,8934,1315,10095,8786,1309,10404,9266,1138,11182,10083,1099,11823,10720,1103,12325,10987,1338,13977,12246,1731,13030,11224,1806,12569,10729,1840,12700,10929,1771,12912,10377,2535,11264,9380,1884
OK,3932,2688,1244,3944,2707,1237,3871,2680,1191,4199,3084,1115,4107,3087,1020,3777,2999,778,4191,3259,932,4408,3262,1146,5032,3043,1989,4625,2988,1637,5229,3315,1914,4838,3307,1531,3846,2803,1043,4221,3089,1132
OR,14655,5778,8877,15876,5734,10142,14476,5551,8925,13953,5986,7967,13238,5236,8002,13226,5831,7395,12164,6101,6063,13822,6432,7390,15828,6545,9283,17254,7012,10242,19492,7231,12261,17309,7442,9867,20653,9946,10707,17590,8329,9261
PA,13375,11518,1857,13199,11569,1630,13512,11768,1744,14138,12340,1798,15339,13664,1675,15421,13993,1428,15333,14301,1032,15086,13727,1359,14736,13660,1076,15096,14036,1060,14516,13418,1098,15096,13819,1277,15378,14079,1299,16220,14741,1479
PR,2451,551,1900,2535,635,1900,3182,670,2512,3525,1013,2512,4418,1321,3097,4518,1421,3097,4132,1406,2726,4128,1402,2726,3212,1346,1866,2900,1034,1866,4149,1404,2745,4070,1325,2745,3012,810,2202,4309,1368,2941
RI,1104,996,108,1055,984,71,1101,1050,51,1180,1111,69,1160,1123,37,1111,1075,36,1190,1170,20,1384,1267,117,1277,1249,28,1070,1039,31,1282,1206,76,1607,1556,51,1196,1142,54,1372,1323,49
SC,4287,2583,1704,4172,2455,1717,3933,2589,1344,3916,2415,1501,5051,3361,1690,5354,3458,1896,5057,3249,1808,6544,3411,3133,4915,2776,2139,5093,2954,2139,4473,3036,1437,4473,3036,1437,5660,3086,2574,5660,3086,2574
SD,1058,812,246,995,761,234,1159,874,285,943,772,171,1072,887,185,1036,900,136,885,830,55,1094,755,339,859,795,64,826,762,64,731,667,64,731,667,64,579,538,41,579,538,41
TN,7256,4472,2784,7467,4869,2598,7883,5028,2855,8309,5544,2765,8779,5773,3006,9123,5879,3244,9415,6383,3032,9528,6321,3207,9426,5778,3648,9113,5915,3198,10276,6999,3277,10532,7133,3399,9705,5660,4045,11210,6446,4764
TX,27229,14017,13212,25848,14626,11222,25310,14776,10534,23548,15055,8493,23122,16214,6908,23678,16192,7486,28495,18228,10267,29615,17525,12090,34052,17501,16551,36911,18972,17939,35121,19191,15930,36761,21658,15103,40190,24080,16110,39788,22882,16906
UT,3131,2427,704,2798,2390,408,2876,2456,420,2852,2574,278,2807,2571,236,3025,2799,226,3081,2768,313,3277,2859,418,3527,3052,475,3130,2687,443,3284,2722,562,3795,3540,255,3434,3178,256,3011,2698,313
VA,5957,4989,968,5783,4924,859,5975,5060,915,6067,5059,1008,6268,5502,766,7001,6190,811,7020,6330,690,7625,6603,1022,8424,6995,1429,8816,7386,1430,9080,7439,1641,8852,7284,1568,8469,6895,1574,9746,7567,2179
VI,304,72,232,314,82,232,486,179,307,381,74,307,341,89,252,337,85,252,448,85,363,482,119,363,484,106,378,532,154,378,487,92,395,471,76,395,602,115,487,559,72,487
VT,1110,996,114,1089,975,114,1291,1209,82,1225,1091,134,1117,961,156,1523,1373,150,1559,1396,163,1454,1270,184,1160,937,223,1144,1021,123,1220,1078,142,1214,1057,157,954,696,258,1035,720,315
WA,22923,12109,10814,21577,12020,9557,22304,11683,10621,21112,12521,8591,20827,12361,8466,19419,12298,7121,18442,12540,5902,17760,12707,5053,20504,15027,5477,20439,15075,5364,22878,16489,6389,22782,16237,6545,21954,15456,6498,23379,16857,6522
WI,4515,4191,324,4538,4243,295,4907,4525,382,5027,4687,340,5685,5275,410,6057,5615,442,6055,5712,343,6104,5736,368,6027,5446,581,5785,5355,430,6333,5253,1080,6525,5465,1060,5449,4934,515,5648,5085,563
WV,1341,1064,277,1397,1149,248,1243,1060,183,1309,1121,188,1387,1252,135,1835,1403,432,2013,1583,430,2240,1612,628,2410,1533,877,2211,1405,806,2264,1524,740,1667,1278,389,2016,1422,594,2409,2147,262
WY,612,489,123,548,423,125,639,440,199,873,510,363,857,491,366,798,507,291,757,563,194,953,501,452,1813,475,1338,1038,195,843,579,515,64,515,451,64,751,619,132,537,397,140
Total,580466,354386,226080,567715,356422,211293,552830,358363,194467,550996,360867,190129,549928,373571,176357,564708,391440,173268,576450,401051,175399,590364,394698,195666,621553,390155,231398,623788,392316,231472,637077,403543,233534,630227,403308,226919,639784,386361,253423,647258,391401,255857
